,Product_Name,Publisher,Writer,Previous_Price,Discount,Current_Price,Gain,Kind,Page,ISBN,Cover
821,Ne Güzel Bir Sabah,İletişim Yayınevi,Serhan Ergin,"22,00",%30 indirim,"15,40","6,60",Öykü Kitapları,128,9789750524646,Ciltsiz
822,Ergenlik: Sıkıntılı Yıllar,İletişim Yayınevi,Sara Villanueva,"30,00",%30 indirim,"21,00","9,00",Psikoloji Başvuru Kitapları,184,9789750524639,Ciltsiz
823,Aile Yadigarları,İletişim Yayınevi,Rita Ender,"33,00",%30 indirim,"23,10","9,90",Diğer,230,9789750524622,Ciltsiz
824,Mutlu Prens,İletişim Yayınevi,Oscar Wilde,"10,00",%30 indirim,"7,00","3,00",Dünya Çocuk Klasikleri,90,9789750524585,Ciltsiz
825,Yürek Burgusu,İthaki Yayınları,Henry James,"18,00",%36 indirim,"11,52","6,48",Korku - Gerilim Edebiyatı,144,9786053758440,Ciltsiz
826,İngiliz Hasta,Alfa Yayınları,Michael Ondaatje,"27,00",%35 indirim,"17,55","9,45",Roman,312,9786051717975,Ciltsiz
827,Mustafa Kemal Atatürk - Mücadelesi ve Özel Hayatı,Yapı Kredi Yayınları,İpek Çalışlar,"29,63",%36 indirim,"18,96","10,67",Biyografi-Otobiyogafi Kitapları,560,9789750843273,Ciltsiz
828,Eti Kemiği Zen,Everest Yayınları,Nyogen Senzaki,"21,00",%35 indirim,"13,65","7,35",Diğer Felsefe Kitapları ,205,9786051852911,Ciltsiz
829,Sondan Bir Önceki Gerçek,Alfa Yayınları,Philip K. Dick,"27,00",%35 indirim,"17,55","9,45",Roman,304,9786051717890,Ciltsiz
830,Silgi Ruhu,Epsilon Yayınevi,Şöhret Doğruyol Sağbaş,"29,50",%40 indirim,"17,70","11,80",Roman-Öykü Kitapları,140,9789944828444,Ciltli
831,Kim Bu Kız? - Çarpılma 3,Epsilon Yayınevi,Colleen Hoover,"27,50",%40 indirim,"16,50","11,00",Roman,312,9789944828093,Ciltsiz
832,Vampirlerin Şafağı,Yediveren Çocuk,Richard Ryan,"20,00",%31 indirim,"13,80","6,20",Roman-Öykü Kitapları,200,9786059484312,Ciltsiz
833,Hayalet Ruhlar,Yediveren Çocuk,Freya Carlin,"20,00",%26 indirim,"14,80","5,20",Roman-Öykü Kitapları,200,9786059484190,Ciltsiz
834,Doğu'yla Batı'nın İzmir Maceraları,Yediveren Çocuk,Asena Meriç,"19,00",%38 indirim,"11,78","7,22",Roman-Öykü Kitapları,200,9786059484503,Ciltsiz
835,Dinozor Stego ve Sevimli Dostları - Bu Kocaman Gözler Kimin? 4,Sincap Kitap,Asiye Aslı Aslaner,"25,00",%35 indirim,"16,25","8,75",Hikayeler,10,9786053050308,Ciltli
836,Balık Noni ve Sevimli Dostları - Bu Kocaman Gözler Kimin? 2,Sincap Kitap,Asiye Aslı Aslaner,"25,00",%35 indirim,"16,25","8,75",Hikayeler,10,9786053050292,Ciltli
837,Frenk Cariye Nakşidil Güneşin Kızı,Nemesis Kitap,Demet Altınyeleklioğlu,"45,00",%78 indirim,"9,90","35,10",Roman,684,9786059545747,Ciltsiz
838,Pablo Escobar Benim Babam 2 - Suçüstü,Nemesis Kitap,Juan Pablo Escobar,"26,00",%40 indirim,"15,60","10,40",Anı- Mektup - Günlük Kitapları,256,9786059545990,Ciltsiz
839,Bir Genç Kızın Gizli Defteri,Yediveren Çocuk,Percy Howard,"20,00",%38 indirim,"12,40","7,60",Roman-Öykü Kitapları,176,9786059484183,Ciltsiz
840,Korsan Adası,Yediveren Çocuk,Sarah Couthon,"19,00",%31 indirim,"13,11","5,89",Roman-Öykü Kitapları,200,9786059484206,Ciltsiz
841,Hayvanlar Çok Tatlı - Mızmız,Nemesis Kitap,Kes Gray,"19,00",%40 indirim,"11,40","7,60",Roman-Öykü Kitapları,224,9786052164020,Ciltsiz
842,Nehir Kuşlarının Şarkısı,Nemesis Kitap,Lisa Wingate,"39,00",%40 indirim,"23,40","15,60",Roman,432,9786052164181,Ciltsiz
